MonitorDate,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2,THC,WS_HR,Weekday,AQI,RAINFALL
2020/12/25,18.6,1.98,0.35,0.09,1.4,10.3,11.7,39,32,15,70,1.9,2.07,2.6,1,50,0
2020/12/26,20.2,2.08,0.39,0.12,3.8,13.4,17.2,27.8,31,13,75,2.4,2.2,0.7,0,44,0
2020/12/27,20.1,2.03,0.42,0.14,3.4,17,20.4,15.2,37,19,80,2.4,2.17,1.1,0,58,0.6
2020/12/28,21.5,1.98,0.38,0.11,2,13,15,31.8,22,12,66,2.4,2.08,2.2,1,39,0.6
2020/12/29,20.8,2.13,0.5,0.19,5.5,21.4,26.8,19.9,51,25,82,1.8,2.32,0.9,1,73,0
2020/12/30,12.8,1.98,0.38,0.07,2.1,9.4,11.5,27.3,33,15,71,3.4,2.06,3.8,1,47,0
2020/12/31,10.2,1.97,0.28,0.07,2.5,8.9,11.4,29.7,34,15,57,1.125,2.04,3.4,1,49,0
2021/1/1,13.9,2,0.3,0.09,2.5,11.1,13.6,28.3,30,14,61,1.3,2.09,2.3,1,45,0
2021/1/2,15.6,1.97,0.32,0.06,1.4,8.4,9.9,35.2,19,9,66,3,2.03,2.4,0,35,0
2021/1/3,17.8,2.04,0.33,0.08,1.3,10.6,11.9,32.4,20,9,72,1.6,2.12,1.6,0,44,0
2021/1/4,17.6,1.96,0.26,0.08,1.3,8.6,9.9,35.6,13,7,89,1.6,2.04,2.2,1,36,0.6
2021/1/5,16.8,1.95,0.26,0.06,1.2,8.8,10,39.6,11,6,85,1.8,2.01,2.8,1,37,0
2021/1/6,15.7,1.98,0.34,0.09,1,9.7,10.6,35.5,15,8,81,1.2,2.07,2.8,1,36,1.2
2021/1/7,12.5,1.99,0.37,0.08,2,8.8,10.8,32.8,11,7,84,1.5,2.07,3.7,1,37,3
2021/1/8,8.3,1.97,0.29,0.09,2,12.3,14.3,23.9,24,13,75,2.75,2.05,3.1,1,42,0.2
2021/1/9,9.6,1.99,0.32,0.08,2.9,10.3,13.2,29.8,31,14,58,1.125,2.07,3,0,44,0
2021/1/10,13.6,1.96,0.26,0.05,1.6,6.7,8.3,34.6,23,9,57,1.8,2.02,2.8,0,35,0
2021/1/11,11.7,2,0.33,0.1,2,13.1,15,27.9,24,16,84,2.5,2.11,2.2,1,51,7.2
2021/1/12,10.8,2.02,0.49,0.14,3.4,19,22.3,31.7,52,31,67,2.8,2.16,1.9,1,90,1.6
2021/1/13,13.6,2.02,0.43,0.16,3.6,21.8,25.4,26.3,45,18,60,2.25,2.18,1,1,57,0
2021/1/14,15.4,2.2,0.83,0.3,17.6,27.7,45.3,24.1,37,19,57,2.8,2.5,0.9,1,59,0
2021/1/15,15.9,2.21,0.62,0.23,9.6,26.9,36.5,25.5,41,25,68,2,2.44,0.8,1,74,0
2021/1/16,18.3,1.99,0.38,0.1,2,12.8,14.8,38.8,55,26,65,1.9,2.09,2.9,0,76,0
2021/1/17,14.6,1.96,0.27,0.05,1.3,5.9,7.2,40.8,40,19,67,2.2,2.01,3.5,0,59,0
2021/1/18,14.9,1.98,0.28,0.08,2.5,11.6,14.1,39.1,43,19,61,2.3,2.06,2.5,1,59,0
2021/1/19,18,1.96,0.3,0.1,2.5,14.6,17.1,32.6,19,8,57,2.2,2.07,1.3,1,39,0
2021/1/20,19.2,2.14,0.55,0.22,6.1,26.9,33,21.1,37,18,71,5,2.36,0.9,1,58,0
2021/1/21,20.5,2.26,0.61,0.3,12.7,26,38.7,14.7,46,29,76,3.1,2.56,0.8,1,83,0
2021/1/22,22.2,2.14,0.44,0.27,13.7,21.1,34.8,14.4,32,19,78,2.925,2.41,1,1,59,0.4
2021/1/23,19.4,1.98,0.3,0.11,3.1,13.6,16.7,20.6,31,19,85,3.6,2.09,1.6,0,60,0
2021/1/24,18.5,2.03,0.52,0.1,1.8,9.8,11.6,42.4,36,22,70,3.5,2.13,2.5,0,67,0
2021/1/25,18,2.06,0.45,0.15,1.4,15.4,16.9,38.2,47,28,75,2.9,2.2,1.5,1,81,0
2021/1/26,18.3,2.06,0.39,0.16,3.2,19.8,23,27.1,42,24,80,1.2,2.22,1.6,1,73,0
2021/1/27,18.3,2.02,0.42,0.13,1.3,14.5,15.8,28.1,29,13,78,4.1,2.15,2.1,1,42,0
2021/1/28,16,2.05,0.51,0.12,1.5,13.3,14.7,37.4,33,16,75,2.025,2.16,2,1,52,0
2021/1/29,16,1.99,0.4,0.08,1.9,9.3,11.2,41.2,80,27,51,1.8,2.06,3.5,1,79,0
2021/1/30,18.4,2.04,0.43,0.13,3.1,17.5,20.6,33,38,17,59,1.8,2.17,1.2,0,55,0
2021/1/31,17.5,2.23,0.58,0.18,4.2,22,26.2,31,42,28,68,2,2.41,1,0,81,0
2021/2/1,17.4,2.32,0.84,0.3,12,30.8,42.8,24.9,45,31,68,2.9,2.62,1,1,88,0
2021/2/2,17.9,2.17,0.59,0.19,6.1,22,28.1,31.9,61,38,68,1.7,2.37,2.4,1,106,0
2021/2/3,20,2,0.4,0.13,2.3,14.8,17.1,42.1,50,20,55,2.4,2.13,1.5,1,62,0
2021/2/4,20.4,2.08,0.44,0.14,4,21.3,25.3,22.5,39,18,60,2.4,2.22,1,1,56,0
2021/2/5,18.9,2.17,0.65,0.19,6.2,25.4,31.6,30.3,66,37,71,2.6,2.37,1,1,106,0
2021/2/6,18.9,2.24,0.69,0.24,4.8,26.7,31.4,31.4,84,59,74,2.3,2.47,0.8,0,153,0
2021/2/7,18.9,2.15,0.65,0.18,5,21.3,26.3,28.9,52,36,81,1.7,2.33,0.9,0,103,0
2021/2/8,19.2,2.16,0.5,0.18,5.2,16.6,21.8,34.3,45,25,72,1.4,2.35,2.4,1,74,0.8
2021/2/9,19.1,1.93,0.28,0.07,1.9,8.1,9.9,42,24,11,64,1.6,2,3,1,46,0
2021/2/10,19.4,2.1,0.43,0.12,3,16,18.9,31.6,24,14,76,2.6,2.22,0.9,1,46,10
2021/2/11,17.7,1.98,0.28,0.05,1.2,9.8,11,34.6,15,10,91,1.1,2.03,1.1,1,38,32.8
2021/2/12,18.8,1.93,0.18,0.02,1.2,5,6.1,40.6,25,10,86,1.3,1.95,1.4,1,42,2.4
2021/2/13,19.9,1.93,0.22,0.07,1.4,6.4,7.8,41.4,25,10,81,2.2,2,2.1,0,43,0
2021/2/14,18.8,1.98,0.33,0.07,2.3,11.3,13.6,31.7,39,20,83,1.9,2.05,0.9,0,62,0
2021/2/15,19.5,2.07,0.36,0.08,4.4,12.2,16.6,30.4,27,17,66,2.1,2.15,1.8,1,55,0
2021/2/16,19.8,2.03,0.42,0.07,1.7,9.7,11.4,42.7,42,26,70,2.6,2.1,1.2,1,76,0
2021/2/17,16.8,1.97,0.35,0.1,1.2,7.2,8.4,44.3,56,28,64,0.7,2.07,3,1,81,0
2021/2/18,15.6,1.96,0.26,0.06,1.6,6.2,7.8,50.4,47,22,46,2.3,2.02,3.5,1,66,0
2021/2/19,16.6,1.97,0.33,0.11,1.6,12.1,13.8,41.5,31,15,49,2,2.08,1.5,1,48,0
2021/2/20,16.4,2.07,0.48,0.15,2.9,19,21.8,35,37,24,70,2.4,2.22,1,0,80,0
2021/2/21,17.8,2.13,0.57,0.16,2.4,20.5,22.9,45.3,50,36,58,2.7,2.29,1,0,143,0
2021/2/22,19.9,2.05,0.47,0.15,5,19.7,24.7,27.8,33,21,57,1.9,2.2,1,1,65,0
2021/2/23,20.2,2.03,0.43,0.15,4.3,15.7,20,33.4,45,22,72,2.1,2.18,2,1,68,0
2021/2/24,20.3,1.97,0.35,0.09,2,14.4,16.4,34.1,55,22,79,1.6,2.06,1.1,1,67,0
2021/2/25,19,2.06,0.44,0.16,5.4,19.7,25.2,23.8,64,41,85,2.4,2.23,1.1,1,115,0
2021/2/26,19.2,2.1,0.41,0.19,3.1,18.3,21.4,26.4,45,30,83,2.7,2.29,1.3,1,86,0
2021/2/27,16.2,1.96,0.28,0.07,1.8,10,11.8,35.3,20,10,87,2,2.03,2.1,0,33,0.4
2021/2/28,17.5,2.02,0.36,0.13,2.9,14.1,16.9,28.5,30,15,80,2.2,2.15,1.5,0,50,0
2021/3/1,21.1,2.15,0.49,0.18,4.9,19.8,24.7,22.4,36,23,74,2.6,2.33,0.9,1,68,0
2021/3/2,16.5,2,0.35,0.1,1.7,10.4,12.1,30.8,20,12,80,1.8,2.09,3.1,1,37,7.4
2021/3/3,17.8,1.99,0.38,0.14,1.9,15.7,17.5,28.4,34,14,74,2.2,2.13,1.3,1,46,0
2021/3/4,17.4,2.06,0.49,0.19,9.2,21.1,30.2,18.6,47,28,87,2.6,2.26,0.7,1,82,0.2
2021/3/5,20.5,2.11,0.6,0.23,6,24.8,30.8,21.4,40,26,79,2.4,2.34,1,1,76,1
2021/3/6,17.4,2.04,0.38,0.14,2.4,17.7,20.1,23.5,32,19,91,1.4,2.18,1.1,0,59,31.4
2021/3/7,16.3,1.96,0.27,0.07,1.4,8.4,9.8,38.1,26,12,92,1.4,2.03,2.6,0,40,0.6
2021/3/8,17.6,1.96,0.25,0.08,1,10.2,11.2,41,43,18,83,2,2.04,2.5,1,56,0.2
2021/3/9,18.8,1.96,0.29,0.08,1.6,11.2,12.8,45.2,48,21,80,1.7,2.05,2.1,1,64,0
2021/3/10,20.8,1.98,0.39,0.1,1.9,11.5,13.3,43.1,24,13,70,1.5,2.08,2.4,1,45,0
2021/3/11,19.7,1.96,0.55,0.17,3.6,19.1,22.7,33.5,55,30,78,2.5,2.13,0.8,1,87,0
2021/3/12,20.8,2.08,0.58,0.19,4.9,18.3,23.1,35.5,68,43,75,2.4,2.27,1.6,1,121,0
2021/3/13,19.9,1.99,0.33,0.08,1.1,10,11.1,50.9,31,15,63,1.5,2.07,2.3,0,61,0
2021/3/14,21.4,2,0.32,0.08,1.1,10.5,11.6,50.2,35,20,63,1.8,2.07,1.7,0,84,0
2021/3/15,20.7,2.16,0.66,0.18,5.9,20.7,26.6,35,53,35,72,3,2.33,1,1,99,0
2021/3/16,23.6,2.11,0.48,0.16,3.3,19.7,23,28,35,23,60,1.5,2.27,0.8,1,70,0
2021/3/17,20.6,2.07,0.42,0.19,1.9,19,20.9,24.4,67,38,82,2.3,2.26,1.4,1,107,0.933333333
2021/3/18,20.1,2.01,0.39,0.16,2.2,17.5,19.8,27.1,57,31,85,1.9,2.16,0.8,1,90,0.2
2021/3/19,21.2,2.09,0.66,0.2,7.5,20.9,28.5,23.5,35,22,81,2.8,2.29,0.7,1,66,0
2021/3/20,21.1,2.05,0.41,0.13,5.3,16.3,21.7,23.1,30,22,82,1.9,2.19,1.1,0,66,0
2021/3/21,16.4,1.99,0.47,0.08,1.4,9.2,10.6,43.4,51,29,77,2,2.07,3.5,0,83,0
2021/3/22,13.4,1.98,0.39,0.09,1.2,12.5,13.7,39.9,50,26,79,1.2,2.07,3.2,1,76,6.4
2021/3/23,16.9,2.07,0.53,0.21,5.9,24.4,30.3,27.1,31,14,74,2.5,2.28,1.2,1,45,1
2021/3/24,16.2,2.03,0.45,0.11,1.3,15.8,17.1,33.4,18,10,87,1.7,2.13,0.8,1,43,39.73333333
2021/3/25,18,1.99,0.29,0.11,2.2,15.1,17.3,39.4,33,17,70,1.7,2.1,2.3,1,54,8
2021/3/26,20.2,2.1,0.43,0.15,5.8,17.9,23.6,30.3,40,20,79,2.3,2.25,0.9,1,61,0
2021/3/27,22.6,2.04,0.4,0.1,1.9,16.3,18.2,36.8,45,23,74,1.8,2.14,1,0,68,0
2021/3/28,24.6,2.05,0.41,0.11,2.5,14.3,16.8,26.6,39,23,73,2.5,2.16,1.1,0,69,0
2021/3/29,23.2,2.05,0.46,0.11,1.8,13.3,15.1,37.8,51,35,82,1.6,2.17,0.9,1,100,0
2021/3/30,25.8,2,0.36,0.12,2.9,14,16.9,20.8,35,20,76,2.2,2.12,1.8,1,62,0
2021/3/31,24.5,2.02,0.5,0.16,3.9,17,20.9,24.9,39,27,80,1.9,2.18,0.9,1,78,0
2021/4/1,25.9,2,0.41,0.13,4.4,15.7,20.1,14.2,35,20,78,2.5,2.13,1.2,1,61,0
2021/4/2,25.7,2.01,0.36,0.11,5.1,13.3,18.3,17.7,33,21,76,2.2,2.11,1,1,65,0
2021/4/3,24.8,1.94,0.31,0.06,1.8,9.2,11.1,38,26,16,78,1.5,2,1.1,0,53,0
2021/4/4,21.1,2,0.45,0.08,1.6,9.1,10.6,41.4,39,21,73,1.9,2.08,2.8,0,65,0
2021/4/5,19,1.97,0.27,0.06,1.7,9.6,11.3,55.3,42,14,54,2.2,2.03,2.6,1,71,0
2021/4/6,20.4,1.98,0.29,0.1,2,13.2,15.2,47.9,31,12,60,2.3,2.08,2.4,1,50,0
2021/4/7,21.7,1.97,0.28,0.1,1.1,12.4,13.6,48.2,29,10,59,2.1,2.07,1.9,1,67,0
2021/4/8,19.8,2.04,0.31,0.13,2.4,15.5,17.9,41.8,23,11,79,2.1,2.17,1.7,1,64,0.6
2021/4/9,17.4,1.96,0.31,0.08,0.7,10.4,11.1,61.4,24,13,77,1.1,2.04,2.7,1,87,0
2021/4/10,19.1,1.96,0.29,0.07,1.3,9.9,11.2,53.3,25,12,79,1.5,2.03,2.4,0,50,0
2021/4/11,22.6,1.98,0.33,0.07,1,8.8,9.8,47.2,32,16,78,1.7,2.05,1,0,71,0
2021/4/12,23.9,2.03,0.38,0.1,2,13.3,15.3,42.6,32,20,73,1.3,2.13,1.2,1,61,0
2021/4/13,24,2.08,0.48,0.14,4.8,15.2,20,30.4,29,19,74,2.5,2.22,1.3,1,58,0
2021/4/14,20.1,1.97,0.3,0.09,1,10.5,11.4,47,25,12,79,1.6,2.06,2.4,1,47,0
2021/4/15,20.2,2.05,0.32,0.13,2,15.6,17.6,35.9,18,10,81,1.3,2.18,1.4,1,47,0
2021/4/16,21.9,1.97,0.31,0.11,1.8,12.1,13.9,45.6,25,14,77,1.7,2.09,1.5,1,61,0
2021/4/17,23.6,1.98,0.3,0.08,1.4,9.6,11,59.6,40,17,60,2.3,2.06,2.6,0,104,0.4
2021/4/18,22.2,1.97,0.35,0.05,1,6.9,7.9,69.5,108,31,52,1.6,2.03,3.3,0,115,0.2
2021/4/19,23.1,1.97,0.27,0.07,1.8,10.2,11.9,54.7,34,10,53,1.9,2.04,1.8,1,64,0
2021/4/20,25.5,1.95,0.27,0.08,1.3,9.5,10.8,54.5,38,15,51,1.3,2.03,1.3,1,132,0
2021/4/21,26.8,1.95,0.3,0.09,2,10.7,12.7,46.9,31,11,54,1.7,2.05,1.4,1,115,0
2021/4/22,26.3,2.01,0.36,0.11,2.5,12.7,15.2,39.9,35,16,72,1.7,2.12,1.1,1,71,0
2021/4/23,24.5,1.92,0.24,0.08,1.6,9.9,11.5,36.9,24,10,78,1.8,2.01,1.8,1,42,2.4
2021/4/24,24.7,1.94,0.23,0.08,1.4,9.2,10.6,40.3,27,10,73,1.3,2.02,2,0,48,0
2021/4/25,24,1.95,0.29,0.06,1.8,9.7,11.4,37.7,22,10,66,2,2.02,1.3,0,38,0
2021/4/26,26.6,1.96,0.29,0.1,1.3,10.9,12.1,44.4,26,10,52,2.2,2.05,1.2,1,67,0
2021/4/27,24.1,1.98,0.27,0.09,1.5,11.1,12.6,39.3,40,19,75,2.2,2.07,1.2,1,60,0
2021/4/28,22.2,2,0.35,0.12,1.5,15.5,17,29.1,15,9,87,2.1,2.12,0.6,1,31,31
2021/4/29,21.2,2.02,0.43,0.14,3,17.1,20.1,34.2,12,7,83,1.9,2.16,1.2,1,46,28.4
2021/4/30,23.5,2.16,0.53,0.16,5.3,14.4,19.8,49.7,30,15,71,2.2,2.32,1.1,1,161,0.2
2021/5/1,25,2.15,0.61,0.16,3.7,17.4,21.1,41.3,32,18,67,2.3,2.31,1.2,0,101,0
2021/5/2,25.8,2.08,0.42,0.11,1.2,12.4,13.6,41.9,37,19,71,2.2,2.19,0.9,0,108,0
2021/5/3,25.4,2.05,0.37,0.1,2.1,12.6,14.7,41.1,43,22,74,1.8,2.15,0.9,1,71,0.2
2021/5/4,27,2.06,0.43,0.13,1.8,15.1,16.9,45.1,45,24,71,2.8,2.19,1,1,122,0
2021/5/5,23.9,2.02,0.32,0.11,3.5,13.7,17.1,31.1,39,16,76,2.4,2.14,1.9,1,53,5.4
2021/5/6,25,2.02,0.33,0.14,1.7,14.5,16.2,42.7,42,19,72,2.3,2.16,1,1,77,0
2021/5/7,27.4,2.03,0.4,0.12,5.2,14.8,19.9,20,29,16,70,2.4,2.15,1.6,1,51,0
2021/5/8,26.6,1.95,0.3,0.07,2.6,11,13.6,22.4,25,14,79,1.6,2.02,1.4,0,44,1.4
2021/5/9,27.1,1.93,0.24,0.05,2.3,8.6,10.9,19.7,19,8,73,1.2,1.99,1.2,0,34,0
2021/5/10,28,1.96,0.26,0.08,2.8,11.4,14.1,20.2,21,10,71,2.4,2.04,1.5,1,33,0
2021/5/11,28.5,1.92,0.3,0.11,2.5,13.4,15.9,18.6,24,10,71,3.2,2.03,1.9,1,33,0
2021/5/12,30.1,1.91,0.25,0.08,1.6,10.9,12.5,23.9,22,9,62,2.9,1.99,2.4,1,32,0
2021/5/13,30,1.93,0.29,0.09,3.9,12.1,16,12.7,20,9,65,2.6,2.03,1.5,1,30,0
2021/5/14,29.5,1.97,0.26,0.09,4,11.4,15.4,15.3,26,10,69,2.6,2.06,1.6,1,32,0
2021/5/15,29.6,1.98,0.24,0.05,3.4,10.8,14.2,15.9,26,8,71,2.5,2.03,1.6,0,27,0
2021/5/16,30.4,1.98,0.24,0.04,2.4,8.9,11.3,19.3,25,9,67,2.7,2.02,2.1,0,30,0
2021/5/17,30.6,1.94,0.21,0.09,1.8,8.5,10.3,23.9,19,8,60,2.4,2.03,2,1,32,0
2021/5/18,29.3,1.89,0.19,0.03,1.8,5.5,7.3,26.5,19,9,74,1.6,1.91,1.6,1,33,0
2021/5/19,29.6,1.93,0.21,0.03,2.7,7.6,10.3,20.5,24,7,73,1.7,1.96,1.3,1,31,0
2021/5/20,30.6,1.97,0.23,0.04,2.7,10.3,13,18.9,25,10,63,2.6,2,2.1,1,32,0
2021/5/21,30.6,1.92,0.24,0.07,2.8,9.7,12.4,20.9,21,10,65,2.5,1.99,2.3,1,32,0
2021/5/22,29.8,1.80325,0.2,0.0595,2.1,6.1,8.2,29.4,29,12,72,2.3,1.86275,2,0,38,0
2021/5/23,30.1,1.93,0.22,0.04,1.6,6.8,8.4,31.9,24,10,69,2.8,1.97,1.3,0,38,0
2021/5/24,30.4,2.01,0.26,0.12,1.9,8.8,10.8,27.5,29,11,67,2.2,2.13,1.9,1,39,0
2021/5/25,29,1.95,0.29,0.18,1.4,10.2,11.6,45.6,22,10,67,1.9,2.13,1.3,1,87,0
2021/5/26,29.8,1.94,0.26,0.07,1.8,9.5,11.3,32.3,21,9,67,2.2,2.01,2.1,1,58,0
2021/5/27,31.3,1.88,0.16,0.04,2.4,6.8,9.1,26.7,19,6,61,2.6,1.92,3.2,1,31,0
2021/5/28,30.9,1.84,0.14,0.04,1.8,7,8.8,27.7,22,6,66,2,1.88,3,1,31,0.4
2021/5/29,28.1,1.87,0.2,0.05,1.6,7.6,9.2,31.1,17,6,82,1.7,1.92,1.7,0,38,7
2021/5/30,27.2,1.9,0.19,0.05,1.5,5.9,7.4,36.8,7,2,81,1.1,1.95,1,0,40,43.2
2021/5/31,25.2,2.02,0.31,0.13,2,13.2,15.3,33.2,6,3,89,1.4,2.15,1,1,37,82.4
2021/6/1,27.4,2.07,0.35,0.14,3.3,13.9,17.2,25.7,17,7,80,1.8,2.21,0.7,1,58,8.6
2021/6/2,29.4,1.92,0.23,0.07,2.6,8.6,11.2,31.3,20,7,73,2.3,1.99,1.6,1,67,0
2021/6/3,30.5,1.87,0.17,0.07,2.1,8.2,10.3,23.4,17,6,68,1.6,1.94,2,1,37,0
2021/6/4,29.7,1.87,0.19,0.06,2.1,8.1,10.2,23,18,6,73,1.8,1.93,1.8,1,33,0.2
2021/6/5,26.6,1.96,0.23,0.09,0.9,9.2,10.1,35.2,10,4,84,1.6,2.05,1,0,44,34.8
2021/6/6,24.4,2.04,0.27,0.11,0.9,10,10.9,36.1,8,4,89,1.2,2.15,0.9,0,36,70
2021/6/7,27.4,1.96,0.29,0.08,1.9,9.2,11.1,38.6,13,4,76,1.5,2.04,1,1,71,0
2021/6/8,29.5,1.94,0.26,0.09,1.5,10.8,12.3,32.8,21,6,68,1.8,2.03,0.8,1,61,0
2021/6/9,29.4,1.9,0.21,0.07,2.4,10,12.4,20.7,22,7,68,1.6,1.98,0.8,1,39,0
2021/6/10,30.2,1.88,0.18,0.06,2,8.7,10.6,18.2,17,6,64,1.7,1.95,1,1,25,0
2021/6/11,31,1.9,0.2,0.08,1.7,9.3,11,31.4,20,8,60,2.2,1.99,0.7,1,54,0
2021/6/12,30,1.88,0.18,0.04,1.2,7.3,8.5,34.2,20,9,69,1.7,1.93,1.2,0,44,0.4
2021/6/13,30.4,1.87,0.18,0.05,1.3,7.9,9.2,21.8,16,5,67,1.6,1.92,1.7,0,31,0
2021/6/14,30.8,1.83,0.14,0.04,1.6,6,7.5,22.3,18,6,64,1.4,1.87,3,1,28,0
2021/6/15,31.1,1.81,0.16,0.04,1.8,5.7,7.4,20.6,16,5,66,2,1.85,3.5,1,23,0
2021/6/16,32,1.83,0.18,0.05,1.8,5.8,7.6,25,19,6,58,1.7,1.88,2.8,1,32,0
2021/6/17,31.7,1.82,0.18,0.04,2.2,5.6,7.8,27.1,26,8,62,1.8,1.86,4,1,33,0
2021/6/18,31.9,1.81,0.13,0.05,1.4,5.1,6.5,27.6,22,7,60,1.8,1.86,3.4,1,33,0
2021/6/19,32.3,1.82,0.15,0.03,1.6,4.4,6,30.5,19,7.25,57,1.4,1.85,2.8,0,35,0
2021/6/20,32.1,1.83,0.14,0.03,1.1,3,4.2,31.4,19,7.25,59,1.6,1.85,2.7,0,34,0
2021/6/21,30,1.86,0.19,0.05,1.1,5.4,6.5,27.6,17,5.75,68,1.4,1.91,2.5,1,27,0.4
2021/6/22,28,1.93,0.22,0.08,1.6,10.6,12.2,26.4,14,6.5,79,1.8,2.02,1.5,1,38,27.6
2021/6/23,26.6,1.94,0.22,0.07,1.4,9.2,10.6,33,12,5,82,1.7,2.01,1.1,1,39,23
2021/6/24,26.5,1.94,0.28,0.09,1.5,10.9,12.4,31.5,12,6,80,1.5,2.03,0.8,1,44,5.2
2021/6/25,27,1.95,0.26,0.11,2.4,11.5,13.9,27.9,16,7,81,1.7,2.06,0.8,1,44,29.8
2021/6/26,29.5,1.9,0.22,0.07,1.6,7.3,8.8,28.2,14,8,69,1.4,1.97,1.8,0,39,0.2
2021/6/27,31.4,1.82,0.14,0.03,1.1,3.2,4.3,29.2,14,6,59,1.7,1.85,2.6,0,32,0
2021/6/28,30.1,1.83,0.16,0.03,0.9,4.3,5.3,23.9,12,6,65,1.5,1.87,2.6,1,25,4
2021/6/29,30.5,1.83,0.16,0.04,1.9,3.8,5.6,25.1,13,6,64,1.4,1.86,2.2,1,28,0.4
2021/6/30,30.7,1.83,0.16,0.01,1.3,4.3,5.6,23.6,23,9,65,1.5,1.84,4.1,1,29,0
2021/7/1,30.8,1.79,0.16,0.06,2,5.8,7.8,21.4,21,8,62,2,1.86,3.5,1,29,0
2021/7/2,30.7,1.83,0.18,0.06,2,7.1,9.1,20.1,22,9,67,2,1.89,2.5,1,30,0
2021/7/3,30.8,1.87,0.21,0.06,2,8.8,10.8,19.1,23,12,66,2.3,1.93,1.8,0,38,0
2021/7/4,30.7,1.88,0.24,0.06,2,7.9,10,19.7,21,11,66,2,1.95,1.3,0,36,0
2021/7/5,31.1,1.84,0.12,0.05,1.7,6.4,8.1,24.4,17,7,62,2.4,1.9,1,1,33,0
2021/7/6,30.1,1.83,0.19,0.06,1.3,7.2,8.6,28.3,24,11,72,1.9,1.89,1.9,1,37,0
2021/7/7,31.1,1.85,0.15,0.05,1.6,7.7,9.3,23.1,17,10,65,1.9,1.91,1.5,1,31,0
2021/7/8,30.9,1.87,0.18,0.05,1.5,9.1,10.8,15.4,13.5,8,65,1,1.92,1.5,1,29,0
2021/7/9,30.9,1.86,0.16,0.03,2.2,9.5,11.8,18.9,14.445,8,64,1.2,1.89,1.7,1,26,0
2021/7/10,31.1,1.86,0.19,0.05,1.7,8.6,10.3,12.8,14.25,5,65,1.2,1.91,1.5,0,25,0
2021/7/11,30.8,1.81,0.13,0.04,1.1,5.6,6.9,21.7,15.25,5,65,1.4,1.86,1.2,0,29,0
2021/7/12,30.3,1.8,0.13,0.04,1.1,6.3,7.5,22,19,6,72,0.9,1.84,1.3,1,31,0.8
2021/7/13,30.3,1.86,0.19,0.06,2.2,8.2,10.5,17.2,16,7,69,0.8,1.92,1.2,1,25,0.4
2021/7/14,30.6,1.84,0.16,0.05,1.7,8.1,10,18.8,16,6,64,1.3,1.9,1,1,31,0
2021/7/15,30.8,1.84,0.16,0.04,1,8.6,9.7,27.3,18,9,67,0.8,1.89,1.1,1,42,0
2021/7/16,30.6,1.87,0.22,0.06,0.9,10.6,11.6,34.7,20,12,67,1.8,1.93,1.1,1,61,0
2021/7/17,30.6,1.89,0.24,0.05,1,8.8,9.9,36.6,27,13,69,1.3,1.94,0.9,0,58,0
2021/7/18,30.9,1.87,0.17,0.04,0.5,6,6.6,40.3,22,11,63,0.9,1.91,0.9,0,61,0
2021/7/19,31.7,1.84475,0.17,0.05875,0.8,9.2,10,37.4,25,11,62,1,1.901,1.1,1,64,0
2021/7/20,31.9,1.81,0.16,0.07,1.4,8.6,10.1,19.8,19,6,58,1.3,1.88,2.1,1,28,0
2021/7/21,30.1,1.82,0.11,0.03,1.1,6.3,7.5,17.9,24,8,67,1,1.85,2.6,1,29,30
2021/7/22,28.3,1.8,0.11,0.03,0.9,5.9,6.8,16.6,17,5,89,1,1.84,2.2,1,18,44.5
2021/7/23,29,1.82,0.13,0.03,0.8,3.6,4.4,21.4,24,8,83,0.5,1.85,2,1,28,15.5
2021/7/24,28.6,1.86,0.18,0.07,1.1,5.5,6.7,23.1,14,5,80,0.9,1.94,1.4,0,25,20
2021/7/25,31.3,1.93,0.18,0.06,0.9,4.6,5.6,46.8,21,14,67,0.7,1.99,2.6,0,77,0
2021/7/26,31.6,1.9,0.18,0.07,0.8,5.7,6.6,36,25,12,68,1,1.98,2.7,1,39,0
2021/7/27,31.7,2,0.22,0.03,1.2,8.6,9.9,31,23,10,66,2,2.02,1.8,1,44,0
2021/7/28,32.3,2.06,0.28,0.05,1.2,9.7,11,37.7,27,16,63,1.3,2.11,1.4,1,71,0
2021/7/29,31.2,2.02,0.25,0.03,1,9.3,10.3,34.7,20,11,71,1,2.06,1.8,1,41,1
2021/7/30,31.2,2.02,0.25,0.06,1.2,10.1,11.4,23.7,18,8,67,1.3,2.08,1.4,1,36.5,0
2021/7/31,30.2,1.98,0.21,0.05,1.3,8.3,9.7,19.5,10,5,68,1.2,2.04,1.4,0,28,5
2021/8/1,29.3,2,0.24,0.06,0.9,7.9,8.9,32.9,7,4,72,0.7,2.08,0.7,0,37,0
2021/8/2,27.6,2.04,0.28,0.07,0.9,10.8,11.8,28.6,9,5,86,0.5,2.13,0.7,1,31,16
2021/8/3,28.9,2.15,0.33,0.08,1.2,12.3,13.5,30.9,20,12,82,0.9,2.24,1.3,1,48,0.5
2021/8/4,28.6,2.11,0.32,0.06,1.4,12.7,14.1,25.8,15,7,81,0.4,2.18,0.9,1,43,31.5
2021/8/5,27.9,2.12,0.38,0.11,2.4,14.6,17.2,15.5,17,10,87,0.5,2.24,0.8,1,52,0.5
